dates,ids,names,monthly_listeners,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,playlists_found,feat_track_ids
01/04/2024,01XYiBYaoMJcNhPokrg0l0,stayc,3049521,63,1782552,"k-pop, k-pop girl group",2020,2024,14,2,K-Pop ON! (온),0y0uzuB1HxljAY2j0tLETp
01/04/2024,099toTcKJoywTosZr2hHjy,langhorne slim,1060777,51,163686,"anti-folk, indie folk, modern folk rock, new americana, stomp and holler",2008,2023,20,3,Sunrise Run,40rjypnguxfhPy4Bbv5SWc
01/04/2024,0BvkDsjIUla7X0k6CSWh1I,luke bryan,10460890,76,8487512,"contemporary country, country, country road, modern country rock",2007,2023,20,6,Sunrise Run,386DfI5sZ0eJi1i6SZVqLw
01/04/2024,0CmvFWTX9zmMNCUi6fHtAx,the boyz,1285501,60,2845229,"k-pop, k-pop boy group",2020,2024,20,6,K-Pop ON! (온),6MEtGumgTXWquxH35osvEC
01/04/2024,0FRUZvZNPzM3YJMABJxf2K,wendy,1885379,62,907553,"k-pop, korean pop",2015,2024,20,2,K-Pop ON! (온),7b8SkcdeiTuo6FQXdPgPWW
01/04/2024,0T7JQxpy1Li93vLNirbv0Z,mad season,568020,49,598724,"alternative metal, alternative rock, blues rock, grunge, supergroup",1995,1995,2,26,Grunge Forever,"3e2fDgC93LGc9Lbdvr6I9k, 5DRUgJmwLvCHQjiFzb4LSQ"
01/04/2024,0TjAAwE04BeoSeOpJIakYH,little may,221557,38,51747,indie folk,2014,2019,4,5,Sunrise Run,7L3WVfrpwUN07jkvZg1vrP
01/04/2024,0UWgEdhywZEON8EtIBYGoL,john ocean,176072,40,4394,background music,2019,2024,13,5,Meditate to the Sounds of Nature,6P0X2zwmhyEHDAOM1i36Zq
01/04/2024,0XHiH53dHrvbwfjYM7en7I,chris cornell,2080900,59,2127586,"alternative metal, alternative rock, grunge, hard rock, post-grunge, rock",1999,2020,20,1,Grunge Forever,4QglwXpVgc088RhQOp42vx
01/04/2024,0b1sIQumIAsNbqAoIClSpy,j-hope,3919781,74,17187002,"k-pop, k-rap",2018,2024,8,1,K-Pop ON! (온),"3ajU531gR5fW71wqsw4tFX, 11sirgYaEutV40tkvgpHN6"
01/04/2024,0ghlgldX5Dd6720Q3qFyQB,tomorrow x together,8827250,77,9718213,"k-pop, k-pop boy group",2019,2024,20,3,K-Pop ON! (온),3aAnwyBJY9OLNLqSgd4fZU
01/04/2024,0iHb0mCbqZTYeb4y9Pirrd,temple of the dog,1531741,54,1227103,"alternative metal, alternative rock, grunge, hard rock, rock, supergroup",1990,2016,2,10,Grunge Forever,"3CtphwpjC0XjIVpLFvGiQR, 6gpai6xL08vD5mQ4fXTwxL"
01/04/2024,0iidQFemlPhkoHqFroz2my,delta rae,316892,42,91258,folk-pop,2012,2022,20,1,Sunrise Run,1G2y3ckwnDX4IOiemPOXEW
01/04/2024,0n94vC3S9c3mb2HyNAOcjg,the head and the heart,3591723,62,1072496,"folk-pop, seattle indie, stomp and holler",2011,2022,20,6,Sunrise Run,7CtViMh5EgoE8krmPPuOhi
01/04/2024,0sPa3yPonEuDbDhBzz7g4E,skin yard,44360,26,31666,"grunge, underground grunge",1987,2012,7,15,Grunge Forever,7fJZisLc35j8EbIQxTFx8b
01/04/2024,0tkHE1pQ5ZCgQb8WZ0ba79,gaeko,880098,62,139091,"k-rap, korean r&b",2014,2023,20,2,K-Pop ON! (온),11sirgYaEutV40tkvgpHN6
01/04/2024,0vRO9bFgOrDoFtLcDHV8b6,kopecky,18210,20,21906,nashville indie,2010,2015,3,7,Sunrise Run,4zVuN7gzv4pbhtJl6Krxnk
01/04/2024,10exVja0key0uqUkk6LJRT,vance joy,24123895,75,3023746,"folk-pop, modern rock",2014,2023,20,2,Sunrise Run,6OFKVE2HZdK3n2tbTDMhn3
01/04/2024,196lKsA13K3keVXMDFK66q,the avett brothers,2338880,59,974758,"indie folk, new americana, north carolina indie, north carolina roots, progressive bluegrass, stomp and holler",2002,2024,20,2,Sunrise Run,0KKist1jJYO17nOqtO1sb2
01/04/2024,1Do4bSzfUl0KWL9r1fITu0,yoon mirae,1935386,62,284513,"k-pop, korean ost, korean pop, korean r&b",2001,2023,20,2,K-Pop ON! (온),11sirgYaEutV40tkvgpHN6
01/04/2024,1SIocsqdEefUTE6XKGUiVS,babymonster,3667742,64,812906," rap , pop ",2023,2024,3,1,K-Pop ON! (온),"3VBj0lzjmhTzVFPEDOjNCG, 1Ad4anaX6hJyfZvVDkrKQg"
01/04/2024,1TTx0YcbKUtJIZY1HEnh9B,j.y. park,997677,50,153494,classic k-pop,2001,2023,20,1,K-Pop ON! (온),1bN4ejW5IMmL4CRVG6Fxfk
01/04/2024,1XIIxzmo6BNRR4QkImSdsX,green river,75274,32,90197,grunge,1990,2019,6,16,Grunge Forever,"6bmlymaMLlpfcyWNjn4vRE, 1LvJ1PFobtIm5DwzRrK0jG"
01/04/2024,1bqxdqvUtPWZri43cKHac8,max,10687678,70,892321,"singer-songwriter pop, teen pop, viral pop",2016,2024,20,2,K-Pop ON! (온),60JZB9waHUPWJTGbYO6kDB
01/04/2024,1gBUSTR3TyDdTVFIaQnc02,nct dream,4666237,74,7608002,"k-pop, k-pop boy group",2019,2024,20,2,K-Pop ON! (온),2jaapqz7L9MpMf7vpkqU9I
01/04/2024,1w5Kfo2jwwIPruYS2UWh56,pearl jam,15096498,75,8594757,"alternative metal, alternative rock, classic rock, grunge, hard rock, permanent wave, rock",1991,2024,20,1,Grunge Forever,"3bE5slaVEfaDreqARl6k4M, 1L94M3KIu7QluZe63g64rv, 6QewNVIDKdSl8Y3ycuHIei, 62nQ8UZVqR2RMvkJHkcO2o, 53eJFr4Mfbw5PXJ01K6cFw"
01/04/2024,1xVWSPiw5B0OduIC0DSu3V,delta spirit,255629,40,119651,"modern folk rock, piano rock, stomp and holler",2006,2022,17,6,Sunrise Run,1zcs4HI1bvDmOJ2fIVTrdz
01/04/2024,23sVmJfw1dF0MTIAkIO0bn,solfeggio dreams,284809,49,2116,"healing hz, solfeggio product",2022,2024,10,4,Meditate to the Sounds of Nature,5RpPrA45N1wKZRUjVR2NJk
01/04/2024,267VY6GX5LyU5c9M85ECZQ,dinosaur jr.,668136,51,521457,"alternative rock, lo-fi, noise pop, noise rock, permanent wave, power pop",1985,2021,20,12,Grunge Forever,7yThIhNzpgDBIGoL2y1y6u
01/04/2024,28ot3wh4oNmoFOdVajibBl,nmixx,4806390,70,2627521,"k-pop, k-pop girl group",2022,2024,11,4,K-Pop ON! (온),"1bN4ejW5IMmL4CRVG6Fxfk, 2RoYgkPzUY0vY7lhUuyus1"
01/04/2024,2AfmfGFbe0A0WsTYm0SDTx,(g)i-dle,12951093,77,8785108,k-pop girl group,2020,2024,20,1,K-Pop ON! (온),"2vNPGH1x5ZwxTjlvzLCyc2, 6hWU8LrnjLyYHShDyNWFZj, 5qI5EUqfDJpQ7w6sMECK7U, 4uOBL4DDWWVx4RhYKlPbPC"
01/04/2024,2JXDwIo5HsiwTcTPQytrZ8,sponge,249150,40,121779,"grunge, pop rock, post-grunge",1994,2023,20,1,Grunge Forever,3vaONhSGEscyYeYoGpMLW4
01/04/2024,2KC9Qb60EaY0kW4eH68vr3,itzy,6515716,73,7015827,"k-pop, k-pop girl group",2020,2024,20,1,K-Pop ON! (온),"1bN4ejW5IMmL4CRVG6Fxfk, 2HQALWSN6IF4BYrSADMJ0w"
01/04/2024,2PSJ6YriU7JsFucxACpU7Y,chung ha,2694061,62,2166309,k-pop,2019,2024,20,2,K-Pop ON! (온),3WFTUAPrXvqg3SXC0bsukz
01/04/2024,2QMMktUMtwMSwUZATX1cRO,toadies,859843,49,294958,"alternative rock, grunge, pop rock, post-grunge",1994,2023,20,2,Grunge Forever,7geL2YhrXDr9tFjoNJMaSZ
01/04/2024,2QwJQuBekTA4qF7N7uLHDP,veruca salt,457218,46,268623,"alternative pop, alternative rock, grunge, lilith, riot grrrl",1994,2023,11,4,Grunge Forever,3cMliO9emUSa4d1Ap2MbfW
01/04/2024,2UazAtjfzqBF0Nho2awK4z,stone temple pilots,6235488,67,3426402,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, post-grunge, rock",1992,2021,19,1,Grunge Forever,"0CkspLl535ZxdwCRs8AdZ4, 6qLEOZvf5gI7kWE63JE7p3, 6dmueYtoihUhlQZlImBCmm, 6skC0VsaOZE1kG4CwXI2Zj"
01/04/2024,2bwGHLbsqHoMmpMcp01WnO,domy castellano,337686,49,1107,organic ambient,2023,2024,20,5,Meditate to the Sounds of Nature,6uyJy0Lp3EGtWnTQ7NIZud
01/04/2024,2dIgFjalVxs4ThymZ67YCE,stray kids,8281944,82,14875131,"k-pop, k-pop boy group, pop",2018,2023,20,5,K-Pop ON! (온),1bN4ejW5IMmL4CRVG6Fxfk
01/04/2024,2mncWLPUUFpNvBLkHzTsDO,tad,58714,30,58047,grunge,1989,1995,5,13,Grunge Forever,3YsG8BwqrJzM3DOqYpFLp0
01/04/2024,2o8gT0fQmFxGNbowbdgeZe,dpr ian,4381522,70,1260073,k-rap,2020,2023,10,1,K-Pop ON! (온),5izX3yhDZHqQFi8p2m6RHi
01/04/2024,2sG4zTOLvjKG1PSoOyf5Ej,brandi carlile,5260544,65,805290,"acoustic pop, ectofolk, folk, indie folk, lilith, modern folk rock, new americana",2005,2024,20,1,Sunrise Run,1kiWXhS6AMJOtU4DPUh0mq
01/04/2024,2seiab24QmTzU4XTr1rjhV,isobel belano,195169,38,845,background music,2019,2024,19,1,Meditate to the Sounds of Nature,2AklRxXDMKpMjQ77QcvY7y
01/04/2024,2ysnwxxNtSgbb9t1m2Ur4j,george ezra,14495818,72,4135338,"folk-pop, neo-singer-songwriter",2013,2023,17,4,Sunrise Run,0KlUnDYTACNGFPFIUa3eZd
01/04/2024,2zHZRicUVAYrE91sAwS4IJ,aisher rami,107044,38,79, ambient ,2023,2023,7,2,Meditate to the Sounds of Nature,4Q9hxYb7d3kCBRAdPikAL2
01/04/2024,2zMQOJ4Cyl4BYbw6WqaO3h,l7,562019,47,314314,"alternative rock, grunge, punk, riot grrrl",1988,2023,20,1,Grunge Forever,"3z5ggGtcs4t8pizW521gW9, 7fxpqs4G8vj3rFYbJnsG7w"
01/04/2024,35kdbaWQLDJudwBytHuiyW,zephyrical,348397,44,218,healing hz,2022,2024,12,1,Meditate to the Sounds of Nature,3aECxXZzEPZGDZXjNeVX2n
01/04/2024,3BXLBEYS53k3FXlvHUJsw7,moon garden,214476,41,336, ambient ,2023,2024,20,1,Meditate to the Sounds of Nature,2TSeGxfPeHQEZbmL19I6ob
01/04/2024,3GjVVVcFmUgEJEAAsbGkf4,trampled by turtles,1185609,55,387264,"duluth indie, indie folk, jam band, new americana, progressive bluegrass, stomp and holler",2004,2022,20,1,Sunrise Run,6nQ5z2EDrltb8MZs3HhfgL
01/04/2024,3HqSLMAZ3g3d5poNaI7GOU,iu,7663140,73,8459764,"k-pop, pop",2009,2024,20,1,K-Pop ON! (온),1c6kkrWnpy68eYDfBdxNtF
01/04/2024,3JjvsPeGMbDJqsphe2z8xU,p1harmony,1834750,64,1085898,"k-pop, k-pop boy group",2020,2024,15,6,K-Pop ON! (온),2E7qG81LXdZEfobhcrVm06
01/04/2024,3JsHnjpbhX4SnySpvpa9DK,v,8801760,83,17584997,"j-division, korean ost",2016,2024,12,2,K-Pop ON! (온),0PBTlQ84CBJF0tBnKGmQa6
01/04/2024,3NPpFNZtSTHheNBaWC82rB,x ambassadors,13807771,71,2970334,"modern alternative rock, modern rock, stomp pop",2013,2024,20,1,Sunrise Run,0fYVliAYKHuPmECRs1pbRf
01/04/2024,3R6c2tWDBeYB1GncjLMn9n,candlebox,1348419,53,865350,"alternative metal, grunge, nu metal, post-grunge",1993,2023,20,1,Grunge Forever,3mhOmh4tRKsMfnRmgZfeBm
01/04/2024,3RJbkbBAHUe5EEw7dpDVUV,blood circus,25764,21,2204,underground grunge,2020,2020,1,9,Grunge Forever,6AZFTXEbrftYn5Ca0PaKru
01/04/2024,3RRjbAYUzANb74qkNyT7vF,ookean,576617,49,1484,binaural,2022,2024,20,2,Meditate to the Sounds of Nature,4DUlzJYHrdNxxdJlt94nP3
01/04/2024,3Ukr3Ufjg8ygRJv7Ww887f,screaming trees,346357,44,321609,"alternative rock, grunge",1985,2011,11,6,Grunge Forever,"4EiLHuUSKTlaGmdR17J2tc, 0donjzZGsCA2PfPUA4EdMN"
01/04/2024,3XR64HmFo4OvexUUNW7TP0,mother love bone,251460,42,344719,"alternative rock, funk metal, grunge",1989,2016,6,5,Grunge Forever,"3UhOnJHr4XYGgFLoQE9JFt, 7lznzPjPyRFdcYaD9gN7a3"
01/04/2024,3ceQN2NVlLg1hgTzljDE4n,half moon run,1271300,55,295753,"canadian indie, indie folk, quebec indie",2013,2024,20,2,Sunrise Run,2BzR2zRJIcFcMCIBKAD68U
01/04/2024,3gd8FJtBJtkRxdfbTu19U2,mumford & sons,11063352,72,6350877,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana",2009,2024,20,1,Sunrise Run,"1fXiYSWmkKJfRKMegCkI11, 4B4vB3oB8csotplfoQcAd6"
01/04/2024,3jZNP1cGIr9jG32lxHUezh,aatom,65110,30,2413,ambient guitar,2020,2024,20,4,Meditate to the Sounds of Nature,0rjq0cADIoP8x92YLcKSPP
01/04/2024,3qJhX4vt6z2W7C2SsDHiAK,andrea accorsi,80057,35,470, ambient ,2021,2024,20,1,Meditate to the Sounds of Nature,3smuAxUIVqSgUJMS9BDVqx
01/04/2024,3qNVuliS40BLgXGxhdBdqu,taeyeon,4038589,67,2830895,k-pop,2016,2024,20,2,K-Pop ON! (온),2gyCwrOcC6JBoaJ8JGJ7T8
01/04/2024,40akJv6gxzx8uyRg3vBRuX,gruntruck,44650,27,30150,"funk metal, grunge, underground grunge",1992,2017,4,1,Grunge Forever,50f5BoytJN3FrlUtDgltO5
01/04/2024,43wwctvUaVOoEHEijQ8NpF,love battery,51115,27,24535,"grunge, underground grunge",1992,1995,5,2,Grunge Forever,3XTTk5s0RTsiie4fkPTcdU
01/04/2024,4A7ZW9rJIvRiyu3pgxQW1j,sam bucciana,201967,39,119," traditional , modern ",2022,2024,6,1,Meditate to the Sounds of Nature,7i93LXVxC6OnibqUY8DdpT
01/04/2024,4CHiVarfTsFhkFOk5vHS77,marc scibilia,718345,50,59005,indiecoustica,2013,2024,20,1,Sunrise Run,2nxmj0bOGYbIRMWn2xSsvB
01/04/2024,4IjFhiHshrelBCY2ACVwhR,quiet point,234480,41,315, ambient ,2023,2024,20,1,Meditate to the Sounds of Nature,02SaJ1OMfv7gDlIRM5OSmw
01/04/2024,4SpbR6yFEvexJuaBpgAU5p,le sserafim,15986724,82,4795106,k-pop girl group,2022,2024,20,1,K-Pop ON! (온),"4lR8sYGMGZPvthF2yUfo7T, 2O4Bb2WCkjlTPO827OnBMI, 74X2u8JMVooG2QbjRxXwR8"
01/04/2024,4TEK9tIkcoxib4GxT3O4ky,kiss of life,2919404,65,593971,k-pop girl group,2023,2023,2,6,K-Pop ON! (온),"0NoeYUnwpb9R26mpylHcR9, 70efTlnBNM8BvfhfPiqOBN"
01/04/2024,4XC4r2EEPyi9Ox0ZinPaIV,nature on record,585791,54,658,"environmental, sound",2019,2023,15,2,Meditate to the Sounds of Nature,3T4OHmowOZnJnBgXqg8YPQ
01/04/2024,4dwdTW1Lfiq0cM8nBAqIIz,of monsters and men,9772182,68,3460370,"folk-pop, metropopolis, modern rock, stomp and holler",2012,2022,14,1,Sunrise Run,"3a2tuvXCHbW5nuUckuHkKT, 60ZGteAEtPCnGE6zevgUcd"
01/04/2024,4jzHHEC3qk1j4hnIWPUnsu,seaweed,51977,29,20649,underground grunge,1991,2011,6,2,Grunge Forever,36CTxkvfEPmhZ95y2le5F2
01/04/2024,4muJrGMndyYWqZtfk8OWy4,boa,1155697,54,816659,k-pop,2004,2022,20,14,K-Pop ON! (온),55W3ONBbW98Cqvk0ZIoaKR
01/04/2024,4yeImZMSwYrOxDHujAsfWz,hollow graham,47524,28,16, ambient ,2023,2024,6,1,Meditate to the Sounds of Nature,4QVhmUB84DlDhbodr1aamr
01/04/2024,50w3lD1tVFon2IBD8jRBOO,harmonic pathways,396936,52,2098,high vibe,2021,2024,20,4,Meditate to the Sounds of Nature,3T4OHmowOZnJnBgXqg8YPQ
01/04/2024,5GMZzcgmUwopsHBB7TyCsy,the wind and the wave,280016,41,49716,"folk-pop, new americana",2014,2024,16,1,Sunrise Run,0l0fgtFUOrcsk2Xks5EBd3
01/04/2024,5HUFo8AH9ZILmlyKFfEMNP,jerry cantrell,197878,41,294870,"alternative metal, grunge, post-grunge",1998,2022,11,3,Grunge Forever,0ecuZefr04QYl0cGpT53Nz
01/04/2024,5OyM0rVbelDv6mU0FEjdNL,dreamdeeper,185921,40,264,binaural,2021,2024,5,3,Meditate to the Sounds of Nature,4xqHr91EEXm4qhnEeju02d
01/04/2024,5SHQUMAmEK5KmuSb0aDvsn,hole,3155303,61,1134092,"alternative rock, grunge, riot grrrl",1991,2012,6,1,Grunge Forever,"6CHENx8iqzMwavTIz8s0gm, 49t1GWE6ZiEoBgN92oMDdM"
01/04/2024,5TnQc2N1iKlFjYD7CPGvFc,day6,2401808,66,3192983,"k-pop, k-pop boy group",2017,2024,20,2,K-Pop ON! (온),6je5cTal6PyeITNrOzkCoS
01/04/2024,5dQtzw5YaP9ZCMv0GWymws,cooper sams,249568,42,3995,background music,2022,2024,20,1,Meditate to the Sounds of Nature,5Gx8X9lJUJy8QfFzo61DMM
01/04/2024,5fzZ93Y7teAEqppKqLAlR8,raf21,163535,39,23210,organic ambient,2020,2024,20,3,Meditate to the Sounds of Nature,7MviasItbMuhm79ZxyMr1o
01/04/2024,5sD1ZLf2dGQ9gQ3YJl1eAd,blind melon,4535498,61,1176749,"alternative metal, alternative rock, grunge, pop rock, rock",1992,2022,12,4,Grunge Forever,6txWz9UapYHVxEd7dDIHXT
01/04/2024,5t5FqBwTcgKTaWmfEbwQY9,enhypen,9808863,78,8261674,"anime, k-pop boy group",2021,2024,20,1,K-Pop ON! (온),"4NxbUHGeXsQgxvR8YKbHjC, 3MOa6IKagO2lT9n0sI8fZQ, 2YmfV4lAjrAQvuggKCUX6m, 7mpdNiaQvygj2rHoxkzMfa"
01/04/2024,5xUf6j4upBrXZPg6AI4MRK,soundgarden,7512871,68,4295245,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock",1989,2019,18,1,Grunge Forever,"2EoOZnxNgtmZaD8uUmz2nD, 1wlKw9NAWVWpx7OIAyg9EA, 1jMaB19DiVR8OihLSuYFOt, 4VwPsMcRt1HPVKIdcwY9Uj, 6hqIXyo6GxydAnoI8XeIrV"
01/04/2024,61YOovGWdnYImyV9dgnaMA,pedro caceres,252974,41,650,sleep,2019,2024,16,1,Meditate to the Sounds of Nature,1mKKxQFRpyyVcimzeoDfOB
01/04/2024,64tNsm6TnZe2zpcMVMOoHL,alice in chains,8379597,72,4936756,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",1990,2018,15,4,Grunge Forever,"5sFDReWLrZHLFZFjHsjUTS, 6gZVQvQZOFpzIy3HblJ20F, 2JuasWPUodaUxf5nwNpciQ, 0wvIGFIgbyz4JNwQhZgTv2, 7FRfYOql61DGDp9VPPe2qA"
01/04/2024,68KmkJeZGfwe1OUaivBa2L,ateez,3593876,72,3775578,"k-pop, k-pop boy group",2019,2024,20,3,K-Pop ON! (온),2KoeSRTm9cRulYnkaEyUaP
01/04/2024,6FkhUhUwSPl3mGB6mmE8wn,cravity,741701,52,657391,k-pop,2020,2024,16,7,K-Pop ON! (온),4mNYuIZVcHy6TUBoaCnGpF
01/04/2024,6HaGTQPmzraVmaVxvz6EUc,jung kook,28295541,86,13666218,k-pop,2022,2023,20,1,K-Pop ON! (온),3ajU531gR5fW71wqsw4tFX
01/04/2024,6RHTUrRF63xao58xh9FXYJ,ive,7852822,74,3854163,k-pop girl group,2021,2024,16,2,K-Pop ON! (온),"7uyeEbG6hyApgXuEypGcsZ, 3G7MgLuWLzUJQflWOCDZit"
01/04/2024,6RJUE6sgw2xb5nVYXhKxE9,now & anatma,133153,37,191,singing bowl,2022,2024,11,2,Meditate to the Sounds of Nature,0yRHbvtu0x4MbIRKgIlXUl
01/04/2024,6SKusTjOAPsTZ6kareKQdm,taeyong,2440062,64,1297210,k-pop,2017,2024,8,2,K-Pop ON! (온),1JxRZB6gjp3nsn2jUIaXMs
01/04/2024,6UbmqUEgjLA6jAcXwbM1Z9,bibi,5546536,68,1365402,"k-pop, korean r&b",2021,2024,20,1,K-Pop ON! (온),"5FJqpWkacWPUrXtJ5waI1j, 5juCu4WFTFRZ2XilopAMTy"
01/04/2024,6YVMFz59CuY7ngCxTxjpxE,aespa,8157559,74,4963902,k-pop girl group,2022,2024,20,2,K-Pop ON! (온),5XWlyfo0kZ8LF7VSyfS4Ew
01/04/2024,6aVjo0xHSiuW5hkasoYSR3,melvins,507091,49,384084,"alternative metal, alternative rock, grunge, punk, sludge metal, stoner metal",2005,2022,20,10,Grunge Forever,09hctAvAEUpm7MKl1RBK2j
01/04/2024,6iQ35vbjuK5T4QkhihmNih,malfunkshun,31220,23,31420,"funk metal, grunge",1995,2021,6,1,Grunge Forever,5eXJylmFFCqixTxJGYKny8
01/04/2024,6ltzsmQQbmdoHHbLZ4ZN25,lord huron,26026021,76,1519733,"indie folk, stomp and holler",2012,2023,20,1,Sunrise Run,3g0XVm6ZTWHbtTTfKhmMo7
01/04/2024,6olE6TJLqED3rqDCT0FyPh,nirvana,31294285,81,18985217,"grunge, permanent wave, rock",1989,2023,20,5,Grunge Forever,"5ghIJDpPoe3CfHMGu71E6T, 11LmqTE2naFULdEP94AUBa, 4P5KoWXOxwuobLmHXLMobV, 2SHTKB8YYlawTGIuJ2b2ok, 1Ic9pKxGSJGM0LKeqf6lGe"
01/04/2024,6qiGjRyN7TJ1GA2nXF68Hi,blind pilot,765163,50,251494,"indie folk, portland indie, stomp and holler",2008,2016,4,5,Sunrise Run,6vpATnRbTUGyMqQ9UYVMh7
01/04/2024,6vz9kIJB249V5DbMMH0WZA,solvekin,550529,49,1571,"background music, healing hz",2023,2024,20,10,Meditate to the Sounds of Nature,5mGFbVJPUbx8ml6o3gFzcI
01/04/2024,70kkdajctXSbqSMJbQO424,kacey musgraves,27291405,80,1371264,"classic texas country, contemporary country, country dawn",2013,2024,20,3,Sunrise Run,43xanDcfSBWuURZCWbItzf
01/04/2024,75dQReiBOHN37fQgWQrIAJ,local natives,1867129,56,643091,"chamber pop, indie rock, la indie, modern rock, shimmer pop, stomp and holler",2010,2024,20,1,Sunrise Run,5MUx7O0LlgofSxTp05nshi
01/04/2024,78SHxLdtysAXgywQ4vE0Oa,bush,3266072,61,1828689,"alternative metal, alternative rock, grunge, nu metal, pop rock, post-grunge, rock",2001,2023,20,2,Grunge Forever,7wpYSigAhQeZp3cdsMQ3Af
01/04/2024,7E4blUHUdA8BXReNUeeIKl,flyndon,310023,45,182, ambient ,2023,2024,20,2,Meditate to the Sounds of Nature,"0MPufbIEaLbtQYtsO2MoF9, 3EvomX9g0fEOKTCRUTcvg1"
01/04/2024,7Lq3yAtwi0Z7zpxEwbQQNZ,viviz,3435882,63,541908,"k-pop, k-pop girl group",2022,2023,9,7,K-Pop ON! (온),618OKP1lBkNJL8uZdNSvQE
01/04/2024,7LuYiSXiWs86rwWJjEEgB9,mudhoney,356187,43,283344,"alternative rock, grunge, punk",1989,2023,20,12,Grunge Forever,"2x5FYXo5rL4Phmn3UPdkK3, 3Fg4SlOiqKDodVJbAM2Gut"
01/04/2024,7giUHu5pv6YTZgSkxxCcgh,edward sharpe & the magnetic zeros,6116019,63,1011879,"la indie, stomp and holler",2006,2016,11,1,Sunrise Run,5uGXVcOINWmyUzpz0lKq7m
01/04/2024,7jIhddww0zd81GTRzMWK0v,escix v,312721,44,279, ambient ,2023,2024,16,1,Meditate to the Sounds of Nature,0AdOu6FCkWdtrCxPYP4yS9
01/04/2024,7jy3rLJdDQY21OgRLCZ9sD,foo fighters,21081750,77,11543511,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",1995,2023,20,1,Grunge Forever,"4LGKzrdEeBwR9UHCGlDT0W, 2wO8aOvN1ogLy1N8XT1WJE, 5XUpAb2zC8G404RPkwb09H"
01/04/2024,7n2Ycct7Beij7Dj7meI4X0,twice,12083924,81,19836512,"k-pop, k-pop girl group, pop",2017,2024,20,9,K-Pop ON! (온),"7cIn67LEvk16v6komC8znS, 35dhwUoJNlxrPyEIJkfDnx"
02/04/2024,78YqeIji3mgAS2K1Maca6x,dylan scott,7061805,70,1616759,"contemporary country, country road, modern country rock",2017,2024,20,1,Breakout Country,"7INk3focyW89pATBgageU7, 1hgINxfKQlJOikzd9skvC2, 61SRKyox0R9jCzci4JXKBS"
02/04/2024,0hEurMDQu99nJRq8pTxO14,john mayer,14713874,77,5910163,"neo mellow, singer-songwriter",1999,2021,20,4,Feel Good Acoustic,"2jdAk8ATWIL3dwT47XpRfu, 3MthJpM1IEYp2ulZe00LvP"
02/04/2024,1JjlFdZ1LKxyQ8moqDOmS9,nick ward,53967,28,5013,australian alternative pop,2018,2024,12,1,GLOW,2M220rNo8EQw2qp0HWtlPf
02/04/2024,10exVja0key0uqUkk6LJRT,vance joy,24147427,75,3024605,"folk-pop, modern rock",2014,2023,20,2,Feel Good Acoustic,"3JvrhDOgAt6p7K8mDyZwRd, 29jtZGdgpE2lWm2mkIt6HS, 6OFKVE2HZdK3n2tbTDMhn3"
02/04/2024,5QySqc6yAFDx9m7fedFZmC,brennan heart,2613048,62,302394,"classic hardstyle, euphoric hardstyle, rawstyle",2009,2024,20,1,Hardstyle Bangers,"04ErJiS734u76JgX5JQayC, 7rFFaaqzFqJNaNsILMOY24, 74CkeJ0vYYTdQImnaLy759, 3nDEjp2MvXJuqtUsv8GuyQ, 6FQTEo5HfXoMzXV513unv9, 2Sdpn0xjNKuWdfdccdvFnl, 4j88dqy9AY39QhuRJir7xv, 0cfxGRaCEFKwz66bURIYz5, 76e9eoJxKRoQhutO5CvDqX"
02/04/2024,3uGFTJ7JMllvhgGpumieHF,ailee,1708455,58,1126935,k-pop,2015,2024,20,2,노래방 인기가요 (Singing Room K-Pop),2BPXILn0MqOe5WroVXlvN1
02/04/2024,196lKsA13K3keVXMDFK66q,the avett brothers,2328584,60,974863,"indie folk, new americana, north carolina indie, north carolina roots, progressive bluegrass, stomp and holler",2002,2024,20,2,Sunrise Run,0KKist1jJYO17nOqtO1sb2
02/04/2024,4TEK9tIkcoxib4GxT3O4ky,kiss of life,2936029,65,597022,k-pop girl group,2023,2023,2,6,K-Pop ON! (온),"0NoeYUnwpb9R26mpylHcR9, 70efTlnBNM8BvfhfPiqOBN"
02/04/2024,4VMYDCV2IEDYJArk749S6m,daddy yankee,50757729,86,33354428,"latin hip hop, reggaeton, trap latino, urbano latino",2002,2024,20,1,Ultimate Party Classics,"228BxWXUYQPJrJYHDLOHkj, 228BxWXUYQPJrJYHDLOHkj"
02/04/2024,6roFdX1y5BYSbp60OTJWMd,tim mcgraw,9099788,71,4442371,"contemporary country, country, country road",1999,2023,20,14,Country Gold,"4Pn0JlCUusD2QHjADuOzuV, 6leiB1fEsTnVCuPiielde5, 6leiB1fEsTnVCuPiielde5, 498ZVInMGDkmmNVpSWqHiZ"
02/04/2024,7tYKF4w9nC0nq9CsPZTHyP,sza,71672229,91,18721338,"pop, r&b, rap",2014,2024,20,1,Chill Pop,1bjeWoagtHmUKputLVyDxQ
