dates,ids,names,monthly_listeners,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,playlists_found,feat_track_ids
02/04/2024,0jPnVIasXzBYjrlpO5irii,ingrid andress,2262327,56,156060,"contemporary country, country pop",2019,2023,20,3,Country Gold,"60RFlt48hm0l4Fu0JoccOl, 60RFlt48hm0l4Fu0JoccOl, 4QWXSTeUHFzU0INh7SNqSU, 7c3Y6INQrmNXDAOquinyw4, 3HGnIIdHYIbkowzLk8UHbE"
02/04/2024,5zXPv1332E2IWXvjotBr09,crude intentions,324119,43,8043,nederlandse hardstyle,2018,2024,20,1,Hardstyle Bangers,6QCs2VEwYeSrhutMPGw5Vs
02/04/2024,3win9vGIxFfBRag9S63wwf,bailey zimmerman,10574232,75,1024892,"contemporary country, modern country pop",2021,2024,14,1,Breakout Country,"1kMWJ16W3Yk3hyNmaM7jfQ, 1TE8AAk9koG0UJco6ZAUfx, 0bILU0UiNDmA5Ff6whhb2R"
02/04/2024,7BKuLuQjskBFEVCk3JlDGR,amiide,19159,21,1012,japanese chill rap,2018,2024,13,2,GLOW,2opO61VvinRaGiBGpWamGv
02/04/2024,4muJrGMndyYWqZtfk8OWy4,boa,1179164,54,816819,k-pop,2004,2022,20,14,K-Pop ON! (온),55W3ONBbW98Cqvk0ZIoaKR
02/04/2024,30AghIfoMJrMo1YqoUkEMM,huh,122921,41,50336,"k-rap, korean underground rap",2020,2023,9,1,KrOWN,6DJpnE5UQZi7zIZIVYwnMe
02/04/2024,41FEVJCBGidsJwbjq0KfgM,william fitzsimmons,507467,47,213094,"acoustic pop, indie folk",2005,2024,20,1,Feel Good Acoustic,4TBZ0i75gIWHedxf6N4Qwc
02/04/2024,4NYMUsIcUUsBHbV9DICa5x,nate smith,7369856,69,299635,"contemporary country, modern country pop",2020,2024,20,1,Breakout Country,"6VpH2prT3NGiK5pnpG2L3J, 5ya0TmUQw2wHMkq36rPsnd"
02/04/2024,6iWuBN32BqCJAeXW6o3nil,cautious clay,1541234,56,279035,"indie r&b, nyc pop",2017,2023,20,4,KrOWN,1bPMPSOQPIinoU6ZBDWtgb
02/04/2024,2fXtzvF2KPVENaAqFgicXS,crypvolk,1121899,54,11599,gym hardstyle,2022,2024,19,1,Hardstyle Bangers,2mVgDjPX3OzJ0EP1Y5cSWa
02/04/2024,2gBjLmx6zQnFGQJCAQpRgw,nelly,19000722,74,2704322,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",2000,2024,20,1,Throwback Workout,"3Gf5nttwcX9aaSQXRWidEZ, 04KTF78FFg8sOHC1BADqbY"
02/04/2024,3HqSLMAZ3g3d5poNaI7GOU,iu,7614683,73,8462265,"k-pop, pop",2009,2024,20,1,노래방 인기가요 (Singing Room K-Pop),"0djkJ3iAARXRCbfbwwVc3o, 1c6kkrWnpy68eYDfBdxNtF"
02/04/2024,2seiab24QmTzU4XTr1rjhV,isobel belano,196465,38,845,background music,2019,2024,19,1,Meditate to the Sounds of Nature,2AklRxXDMKpMjQ77QcvY7y
02/04/2024,6S2OmqARrzebs0tKUEyXyp,demi lovato,28882491,77,26218598,"pop, post-teen pop",2008,2023,20,1,Feel Good Acoustic,4gd5QOwPhztB74FW28S93P
02/04/2024,6WY7D3jk8zTrHtmkqqo5GI,maren morris,13036801,70,791124,"classic texas country, contemporary country",2017,2024,20,1,Country Gold,"1LM5zQv5pBKPyO7rm7Uz6U, 7yFhA2fUsL2oIMWlw5DaHQ, 09iyGiljLWRYXdRazFkdtJ, 09iyGiljLWRYXdRazFkdtJ, 7yFhA2fUsL2oIMWlw5DaHQ, 4Yy1VOdLAX7MuKQOcivV4O, 13G5xv1wUKvJYbK0wYmioN, 7yFhA2fUsL2oIMWlw5DaHQ"
02/04/2024,6tbjWDEIzxoDsBA1FuhfPW,madonna,43537594,81,7576060,"dance pop, pop",2000,2022,20,10,Throwback Workout,3850dYVgOFIXJh5U4BFEWH
02/04/2024,31TPClRtHm23RisEBtV3X7,justin timberlake,46115974,83,13808008,"dance pop, pop",2002,2024,20,1,Chill Pop,"5qxOeTyWa0JAst5fqdrqgu, 0O45fw2L5vsWpdsOdXwNAR"
02/04/2024,4UXqAaa6dQYAk18Lv7PEgX,fall out boy,25220780,79,10469272,"emo, modern rock, pop, rock",2003,2024,20,5,Throwback Workout,0a7BloCiNzLDD9qSQHh5m7
02/04/2024,0EiNdCUwM4B5GkTInLAyuj,caleb hearn,3572659,63,215227,singer-songwriter pop,2020,2024,20,1,Chill Pop,0GMs3jq70wmCo12pavj4st
02/04/2024,70BYFdaZbEKbeauJ670ysI,shinedown,6639767,70,4009162,"alternative metal, nu metal, post-grunge",2003,2024,20,1,Chill Pop,7xOB82ELg70RoIM3mMTkt4
02/04/2024,502gYHkFCtLzBIcU4ctPLd,zeph,4247576,61,168420,gen z singer-songwriter,2018,2023,15,1,Chill Pop,6Cg8d5DzpKHGci9SPk8JeL
02/04/2024,4xFUf1FHVy696Q1JQZMTRj,carrie underwood,10511417,70,5863558,"classic oklahoma country, contemporary country, country, country dawn, dance pop, pop",2005,2023,20,1,Country Gold,"67citk3uzWs5qbaIVKTeg8, 0ZUo4YjG4saFnEJhdWp9Bt, 7IYoh1u7dFM1xIWSEYd5B8, 6s9m5J92By7jii22Q2XtY2, 0vFMQi8ZnOM2y8cuReZTZ2, 0ZUo4YjG4saFnEJhdWp9Bt, 67citk3uzWs5qbaIVKTeg8, 6s9m5J92By7jii22Q2XtY2, 2dRPQFwPqAmc42mDRnsDQu"
02/04/2024,3Ij56hbjOTHq8RgutQwfxC,radical redemption,476167,50,113927,"classic hardstyle, rawstyle",2012,2024,20,1,Hardstyle Bangers,6N1NycLCUdSMWLM6ucXjP2
02/04/2024,2ecqtRdHGMT1SSSaYXoYlC,aversion,514623,50,24231,rawstyle,2022,2024,20,1,Hardstyle Bangers,"6YHtcC9r1TQ4NDEVqu84KM, 6zl6FaXnnUPkQvZoIvK0jc"
02/04/2024,3Rxm9TaXZGuQRw2B91Ap22,boycold,67284,35,47446,k-rap,2018,2024,7,1,KrOWN,1GnC5Vv0iJ3eTnsWtMFG4X
02/04/2024,2wUjUUtkb5lvLKcGKsKqsR,alessia cara,16237897,72,11742653,"canadian contemporary r&b, canadian pop, pop",2015,2022,20,6,Feel Good Acoustic,3FAzlNPlVImGsbjnHHft6K
02/04/2024,4EzkuveR9pLvDVFNx6foYD,james bay,11157001,69,3969513,"neo mellow, pop, uk pop",2014,2023,20,1,Feel Good Acoustic,"0GTPn99cNZRVl2Kv0bcwNI, 4VmFqEEqbLReGKJQhDl9c0"
02/04/2024,6xvpfMjWTougrRRtK7iikz,mason ramsey,1795005,56,201033,"contemporary country, country",2018,2024,11,6,Breakout Country,"6ymafuSC9VWoGRPquZkQKV, 6ymafuSC9VWoGRPquZkQKV"
02/04/2024,2IvkS5MXK0vPGnwyJsrEyV,eric church,10443271,73,3788469,"contemporary country, country, country road",2006,2024,20,1,Country Gold,"05ZACkzW8YbRq3eFgIfSNB, 1cktZnxiONH0hR6Q3DKy8h, 4mXGooManGPH6xAWRAtRJU, 5fSPbm5lcwtqwXkeQQswW8, 1TKlBK9cSrM5u4CiL4SETS, 05ZACkzW8YbRq3eFgIfSNB, 1cktZnxiONH0hR6Q3DKy8h"
02/04/2024,3bO19AOone0ubCsfDXDtYt,myles smith,6147677,68,286143,singer-songwriter pop,2023,2024,10,1,Chill Pop,"4Skkx52Dh8yo4G1ijAEGs3, 4ilUlZEEDIoQEHNQCyufL0, 4ilUlZEEDIoQEHNQCyufL0"
02/04/2024,5EvFsr3kj42KNv97ZEnqij,shaggy,15840129,72,2125562,"dance pop, pop rap, reggae fusion",1994,2022,20,13,Ultimate Party Classics,3WkibOpDF7cQ5xntM1epyf
02/04/2024,6b0Wy4mw8ePj9w2EX3s4V3,noah guthrie,326522,42,67674, rock ,2013,2023,20,1,Feel Good Acoustic,4wnhMXDfs64pcg0jxHscwI
02/04/2024,0aqrM7Fo3Ml66Kc5JAzmjt,deana carter,1714793,53,517085,"country, country dawn, country road",1996,2022,11,1,Women of Country,3ODF56f90W3qxDqxHAUi3v
02/04/2024,37ZY7eIcTT28id2jfq8WYw,woody,151962,40,41121,k-pop ballad,2016,2024,20,4,노래방 인기가요 (Singing Room K-Pop),7M3POeMOBCs6pwtDkVhBTi
02/04/2024,0y2FPygoi6LVc75pxCgsMk,conner smith,1867586,58,67911,modern country pop,2021,2024,18,2,Breakout Country,5g4ARvINyjjLoiDX4roM8m
02/04/2024,7ahuvq1mbb4idwG1iJbSFG,cassadee pope,580637,51,249711,"contemporary country, country road, modern country rock, pop emo",2012,2024,20,4,Women of Country,25zXRQGuwYZdIp88fVZOPC
02/04/2024,0EmeFodog0BfCgMzAIvKQp,shakira,66154716,87,32373508,"colombian pop, dance pop, latin pop, pop",1995,2024,20,1,Ultimate Party Classics,"3ZFTkvIE7kyPt6Nu3PEa7V, 3ZFTkvIE7kyPt6Nu3PEa7V, 2HWWNoWEEEECwZhAiLg7ib"
02/04/2024,5PbgCU02dfdBCAzpOaNmYW,sickmode,1304307,59,96561,gym hardstyle,2019,2024,20,1,Hardstyle Bangers,"0vBOyqICis94fkSwJbfUeF, 6H4mOpaopoXbLkf12GEhe4, 4qfD7xjF4ZhteeAc6B7TjA, 4lj6c7zEcP6M03gjnybbzj, 55UUc12En4gVEdzwNTFAkQ"
02/04/2024,4UohSp9DAmnCA9mgWqj8d1,chocoholic,42407,30,3700,"japanese r&b, japanese soul",2016,2024,20,1,GLOW,2opO61VvinRaGiBGpWamGv
02/04/2024,79g2STpP2iV1xfgHuhrhX0,leellamarz,320621,54,172701,"k-rap, korean r&b",2017,2024,20,1,KrOWN,"4D6ouoAWdowHMBWkRF1yZR, 1S7JmOOTfu7Wzf7EfnxFyd, 2jkvI5zv8yDQKReAlyMj2t, 7KUb5GsTcXfpG0phkbL2mR, 3D8JDF9RR85PBzxW5JOj5X, 1GnC5Vv0iJ3eTnsWtMFG4X"
02/04/2024,5Ppie0uPnbnvGBYRwYmlt0,megan moroney,6445223,69,288286,"contemporary country, modern country pop",2021,2024,12,1,Breakout Country,"0ZQdCsqlVRqqImNqkRz9ct, 4eIGig7wMD4iZfPKGinoGr, 2uHgCkaiHwZKl7tDBTVsyW, 6DLbBlGIOjjEj0dNN25zhZ, 25jS5o9ZalzGgOvHUSRi7Y, 3yCcJIX6VbB1DKXrIsm0BE, 7Fh8xCGwV1QHuhBPKu1i4m, 5omVNcqZuJUeAP6WUOMaXA, 6DLbBlGIOjjEj0dNN25zhZ, 2ePiBvKtQOCBHq9uOlwiiU"
02/04/2024,28ot3wh4oNmoFOdVajibBl,nmixx,4802677,70,2630787,"k-pop, k-pop girl group",2022,2024,11,4,EQUAL K-Pop,"2RoYgkPzUY0vY7lhUuyus1, 6P3CtlzTKLxcNYGOS3es8m, 1bN4ejW5IMmL4CRVG6Fxfk, 2RoYgkPzUY0vY7lhUuyus1"
02/04/2024,4rQTEdG6hDVOlDUFKs9EjZ,fly by midnight,1582548,60,243397,singer-songwriter pop,2017,2024,20,1,Chill Pop,7e7JVMegy4WBMnzuZE9Srq
02/04/2024,117Rg4kISlVXLtYDzYL7gS,deepshower,12481,21,16812,korean r&b,2014,2024,14,1,KrOWN,5kMDKlRMO3MNeCKt73Ab7i
02/04/2024,4Q6nIcaBED8qUel8bBx6Cr,jax jones,14860068,73,1159964,"dance pop, edm, house, pop dance, uk dance, uk pop",2019,2024,20,2,Feel Good Acoustic,3PRpinHSGqytZnOKwCsR7l
02/04/2024,5QWt56OIzFSPRpD7VeRkbc,axmo,3480360,62,38818,hypertechno,2022,2024,20,2,Hardstyle Bangers,"11mihFv2UTOzdDD9DrStYu, 7piw0SrFyHjJwOivGxdrnb, 0YHL0wDP6b7ov6h0yEhorO"
02/04/2024,7xZTozOYTK6YKaxcQxeBdP,drew green,1027070,53,52357,modern country pop,2018,2024,16,1,Breakout Country,7LFj4V7izgF22CUGeDo38n
02/04/2024,0caJEGgVuXuSHhhrMCmlkI,sefa,1311506,57,170738,"frenchcore, tekk, uptempo hardcore",2018,2023,20,1,Hardstyle Bangers,"0NVHRsxOwvf6mcGqrDrhiG, 5qeMz1IZRziSatqOG3ZHz6, 4oXfq53zABX3oq2fQ7zDzj"
02/04/2024,0rvjqX7ttXeg3mTy8Xscbt,journey,18834600,74,5356689,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, soft rock",1975,2023,20,1,Ultimate Party Classics,5RKQ5NdjSh2QzD4MaunT91
02/04/2024,0W0w607z3JEA1vXLz9FVGw,nct dojaejung,909012,54,394011,k-pop boy group,2023,2023,2,6,Hallyu Boy Bands,0jd4aa9XgV5eom0ez0WBrD
